what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363169925306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363170730926
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363170732939
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171706877
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171711245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171712830
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1363171782380
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363171783600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171786524
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171829120
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363171839223
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363171839517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171844684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171868669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363171906771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363172600292
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363172609871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363173070030
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363173099735
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363173101583
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363173101853
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363173103858
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363173104114
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363173107653
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363173108033
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363173114968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363173122555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363173135363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363173142376
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363173143875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363179835833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363179837901
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1363179839446
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363179839709
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1363179840113
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1363179840137
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1363179840156
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1363179840156
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1363179840156
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1363179840156
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1363179840175
stopped,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1363179840175
stopped,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1363179840175
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1363179840182
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1363179840185
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.0.v201004290328,"org.eclipse.wst.xml.xpath.ui",1363179840195
