what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1363933617094
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1363933617109
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1363933617110
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1363933617120
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1363933617125
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1363933617130
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1363933617130
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1363933617130
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1363933617137
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1363933617146
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1363933617155
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1363933617165
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1363933617208
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1363933617211
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1363933617215
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1363933617229
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1363933617237
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1363933617240
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1363933617241
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1363933617242
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1363933617254
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1363933617254
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1363933617264
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1363933617264
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1363933617270
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1363933617276
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1363933617283
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363933617286
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1363933617293
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363933617299
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1363933617305
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1363933617306
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1363933617306
os,sysinfo,,,"linux",1363933617308
arch,sysinfo,,,"x86_64",1363933617308
ws,sysinfo,,,"gtk",1363933617308
locale,sysinfo,,,"en_IN",1363933617308
processors,sysinfo,,,"2",1363933617308
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1363933617308
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1363933617308
java.specification.name,sysinfo,,,"Java Platform API Specification",1363933617308
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363933617308
java.specification.version,sysinfo,,,"1.6",1363933617308
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1363933617308
java.version,sysinfo,,,"1.6.0_24",1363933617308
java.vm.info,sysinfo,,,"mixed mode",1363933617308
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1363933617308
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363933617308
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1363933617308
